Dataset_ID,Buyer_ID,Registration_Date,Search_History,View_History,Wishlist,Favorite,Purchase_History,Recommended_Products,Recommendation_Type,Recommendation_Reason,Confidence_Score,Ground_Truth,Business_Rule,Scenario_Type,Created_Date,Version,Search_History_list,Search_History_count,View_History_list,View_History_count,Wishlist_list,Wishlist_count,Favorite_list,Favorite_count,Purchase_History_list,Purchase_History_count,Recommended_Products_list,Recommended_Products_count
CS000001,BYRNEW00001,2026-08-06,,,,,,PRD002006 | PRD002483 | PRD002695 | PRD002976 | PRD001581,Trending Products,"Cold start - no user history, fallback to Trending Products",0.64,Recommended (Trending Products),BR006,COLD_START,2026-07-27,v1.0,[],0,[],0,[],0,[],0,[],0,"['PRD002006', 'PRD002483', 'PRD002695', 'PRD002976', 'PRD001581']",5
CS000002,BYRNEW00002,2026-08-04,,,,,,PRD001288 | PRD001720 | PRD002921 | PRD002074 | PRD000178,New Arrivals,"Cold start - no user history, fallback to New Arrivals",0.67,Recommended (New Arrivals),BR006,COLD_START,2026-07-09,v1.0,[],0,[],0,[],0,[],0,[],0,"['PRD001288', 'PRD001720', 'PRD002921', 'PRD002074', 'PRD000178']",5
CS000003,BYRNEW00003,2026-07-31,,,,,,PRD001566 | PRD002285 | PRD001760 | PRD001456 | PRD000241 | PRD002547 | PRD002508 | PRD002004,Trending Products,"Cold start - no user history, fallback to Trending Products",0.59,Recommended (Trending Products),BR006,COLD_START,2026-07-17,v1.0,[],0,[],0,[],0,[],0,[],0,"['PRD001566', 'PRD002285', 'PRD001760', 'PRD001456', 'PRD000241', 'PRD002547', 'PRD002508', 'PRD002004']",8
CS000004,BYRNEW00004,2026-08-05,,,,,,PRD000342 | PRD000080 | PRD002601 | PRD000947 | PRD001381,New Arrivals,"Cold start - no user history, fallback to New Arrivals",0.75,Recommended (New Arrivals),BR006,COLD_START,2026-07-15,v1.0,[],0,[],0,[],0,[],0,[],0,"['PRD000342', 'PRD000080', 'PRD002601', 'PRD000947', 'PRD001381']",5
CS000005,BYRNEW00005,2026-08-06,,,,,,PRD000988 | PRD000257 | PRD002978 | PRD001941 | PRD002511 | PRD000725 | PRD002552,New Arrivals,"Cold start - no user history, fallback to New Arrivals",0.55,Recommended (New Arrivals),BR006,COLD_START,2026-07-10,v1.0,[],0,[],0,[],0,[],0,[],0,"['PRD000988', 'PRD000257', 'PRD002978', 'PRD001941', 'PRD002511', 'PRD000725', 'PRD002552']",7
CS000006,BYRNEW00006,2026-07-31,,,,,,PRD001015 | PRD000015 | PRD002610 | PRD001763 | PRD002776,Popular Products,"Cold start - no user history, fallback to Popular Products",0.54,Recommended (Popular Products),BR006,COLD_START,2026-08-02,v1.0,[],0,[],0,[],0,[],0,[],0,"['PRD001015', 'PRD000015', 'PRD002610', 'PRD001763', 'PRD002776']",5
CS000007,BYRNEW00007,2026-08-06,,,,,,PRD001810 | PRD000239 | PRD001612,Best Seller,"Cold start - no user history, fallback to Best Seller",0.65,Recommended (Best Seller),BR006,COLD_START,2026-08-05,v1.0,[],0,[],0,[],0,[],0,[],0,"['PRD001810', 'PRD000239', 'PRD001612']",3
CS000008,BYRNEW00008,2026-08-06,,,,,,PRD001320 | PRD002728 | PRD000699 | PRD000932,Trending Products,"Cold start - no user history, fallback to Trending Products",0.65,Recommended (Trending Products),BR006,COLD_START,2026-07-13,v1.0,[],0,[],0,[],0,[],0,[],0,"['PRD001320', 'PRD002728', 'PRD000699', 'PRD000932']",4
CS000009,BYRNEW00009,2026-08-06,,,,,,PRD000993 | PRD001865 | PRD002858 | PRD000778 | PRD000790 | PRD001069,Popular Products,"Cold start - no user history, fallback to Popular Products",0.61,Recommended (Popular Products),BR006,COLD_START,2026-07-29,v1.0,[],0,[],0,[],0,[],0,[],0,"['PRD000993', 'PRD001865', 'PRD002858', 'PRD000778', 'PRD000790', 'PRD001069']",6
CS000010,BYRNEW00010,2026-08-05,,,,,,PRD000367 | PRD000074 | PRD001960 | PRD000307,Popular Products,"Cold start - no user history, fallback to Popular Products",0.72,Recommended (Popular Products),BR006,COLD_START,2026-07-17,v1.0,[],0,[],0,[],0,[],0,[],0,"['PRD000367', 'PRD000074', 'PRD001960', 'PRD000307']",4
CS000011,BYRNEW00011,2026-07-31,,,,,,PRD000279 | PRD002925 | PRD000031 | PRD002403 | PRD000718,Popular Products,"Cold start - no user history, fallback to Popular Products",0.7,Recommended (Popular Products),BR006,COLD_START,2026-07-25,v1.0,[],0,[],0,[],0,[],0,[],0,"['PRD000279', 'PRD002925', 'PRD000031', 'PRD002403', 'PRD000718']",5
CS000012,BYRNEW00012,2026-07-30,,,,,,PRD000551 | PRD000169 | PRD002575,Best Seller,"Cold start - no user history, fallback to Best Seller",0.51,Recommended (Best Seller),BR006,COLD_START,2026-07-14,v1.0,[],0,[],0,[],0,[],0,[],0,"['PRD000551', 'PRD000169', 'PRD002575']",3
CS000013,BYRNEW00013,2026-08-06,,,,,,PRD000229 | PRD001386 | PRD000123 | PRD000559 | PRD002693 | PRD001782 | PRD002317 | PRD002773,Trending Products,"Cold start - no user history, fallback to Trending Products",0.5,Recommended (Trending Products),BR006,COLD_START,2026-07-12,v1.0,[],0,[],0,[],0,[],0,[],0,"['PRD000229', 'PRD001386', 'PRD000123', 'PRD000559', 'PRD002693', 'PRD001782', 'PRD002317', 'PRD002773']",8
CS000014,BYRNEW00014,2026-08-02,,,,,,PRD002623 | PRD001992 | PRD002638 | PRD001877 | PRD002875 | PRD002569 | PRD000830 | PRD002100,New Arrivals,"Cold start - no user history, fallback to New Arrivals",0.57,Recommended (New Arrivals),BR006,COLD_START,2026-07-21,v1.0,[],0,[],0,[],0,[],0,[],0,"['PRD002623', 'PRD001992', 'PRD002638', 'PRD001877', 'PRD002875', 'PRD002569', 'PRD000830', 'PRD002100']",8
CS000015,BYRNEW00015,2026-08-05,,,,,,PRD002600 | PRD001318 | PRD000934 | PRD001662 | PRD001314 | PRD000688 | PRD001879 | PRD000802,Best Seller,"Cold start - no user history, fallback to Best Seller",0.59,Recommended (Best Seller),BR006,COLD_START,2026-07-25,v1.0,[],0,[],0,[],0,[],0,[],0,"['PRD002600', 'PRD001318', 'PRD000934', 'PRD001662', 'PRD001314', 'PRD000688', 'PRD001879', 'PRD000802']",8
CS000016,BYRNEW00016,2026-07-31,,,,,,PRD002304 | PRD000670 | PRD002845 | PRD001908 | PRD001300 | PRD002388 | PRD001659 | PRD001151,New Arrivals,"Cold start - no user history, fallback to New Arrivals",0.54,Recommended (New Arrivals),BR006,COLD_START,2026-07-29,v1.0,[],0,[],0,[],0,[],0,[],0,"['PRD002304', 'PRD000670', 'PRD002845', 'PRD001908', 'PRD001300', 'PRD002388', 'PRD001659', 'PRD001151']",8
CS000017,BYRNEW00017,2026-08-05,,,,,,PRD001459 | PRD002695 | PRD000750 | PRD000182 | PRD001070 | PRD002315 | PRD000951 | PRD001207,Trending Products,"Cold start - no user history, fallback to Trending Products",0.56,Recommended (Trending Products),BR006,COLD_START,2026-07-28,v1.0,[],0,[],0,[],0,[],0,[],0,"['PRD001459', 'PRD002695', 'PRD000750', 'PRD000182', 'PRD001070', 'PRD002315', 'PRD000951', 'PRD001207']",8
CS000018,BYRNEW00018,2026-07-31,,,,,,PRD002872 | PRD002939 | PRD001306 | PRD000308 | PRD002257,New Arrivals,"Cold start - no user history, fallback to New Arrivals",0.73,Recommended (New Arrivals),BR006,COLD_START,2026-07-21,v1.0,[],0,[],0,[],0,[],0,[],0,"['PRD002872', 'PRD002939', 'PRD001306', 'PRD000308', 'PRD002257']",5
CS000019,BYRNEW00019,2026-08-05,,,,,,PRD001059 | PRD000554 | PRD000694,New Arrivals,"Cold start - no user history, fallback to New Arrivals",0.69,Recommended (New Arrivals),BR006,COLD_START,2026-07-19,v1.0,[],0,[],0,[],0,[],0,[],0,"['PRD001059', 'PRD000554', 'PRD000694']",3
CS000020,BYRNEW00020,2026-08-03,,,,,,PRD000768 | PRD002693 | PRD002569 | PRD002069,Trending Products,"Cold start - no user history, fallback to Trending Products",0.7,Recommended (Trending Products),BR006,COLD_START,2026-07-09,v1.0,[],0,[],0,[],0,[],0,[],0,"['PRD000768', 'PRD002693', 'PRD002569', 'PRD002069']",4
CS000021,BYRNEW00021,2026-08-04,,,,,,PRD002087 | PRD000678 | PRD002679 | PRD002069 | PRD001853 | PRD000137,Trending Products,"Cold start - no user history, fallback to Trending Products",0.74,Recommended (Trending Products),BR006,COLD_START,2026-07-21,v1.0,[],0,[],0,[],0,[],0,[],0,"['PRD002087', 'PRD000678', 'PRD002679', 'PRD002069', 'PRD001853', 'PRD000137']",6
CS000022,BYRNEW00022,2026-08-05,,,,,,PRD001890 | PRD002230 | PRD002632 | PRD002186 | PRD001006 | PRD001452 | PRD000702 | PRD002366,Best Seller,"Cold start - no user history, fallback to Best Seller",0.53,Recommended (Best Seller),BR006,COLD_START,2026-07-07,v1.0,[],0,[],0,[],0,[],0,[],0,"['PRD001890', 'PRD002230', 'PRD002632', 'PRD002186', 'PRD001006', 'PRD001452', 'PRD000702', 'PRD002366']",8
