Dataset_ID,Buyer_ID,Product_ID,Recommended,Clicked,Viewed,Purchased,Ignored,Hidden,Feedback,Ground_Truth,Scenario_Type,Confidence_Score,Created_Date,Version
FB000001,BYR000184,PRD001465,Yes,No,Yes,No,No,No,Price too high 😅,Neutral,NORMAL,0.73,2026-06-20,v1.0
FB000002,BYR000309,PRD002049,Yes,No,Yes,No,No,No,Irrelevant to my search,Neutral,NORMAL,0.82,2026-06-14,v1.0
FB000003,BYR000741,PRD000716,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,NORMAL,0.98,2026-07-13,v1.0
FB000004,BYR000262,PRD000102,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,NORMAL,0.81,2026-06-12,v1.0
FB000005,BYR000438,PRD002519,Yes,No,No,No,Yes,No,Duplicate of item I already own,Negative,NORMAL,0.77,2026-05-22,v1.0
FB000006,BYR000398,PRD002071,Yes,No,Yes,No,No,No,Price too high 😅,Neutral,NEGATIVE,0.62,2026-06-05,v1.0
FB000007,BYR000897,PRD001478,Yes,Yes,Yes,Yes,No,No,Great match! ⭐⭐⭐⭐⭐,Positive,BOUNDARY,0.84,2026-05-17,v1.0
FB000008,BYR000316,PRD002646,Yes,No,No,No,Yes,Yes,Duplicate of item I already own,Negative,NORMAL,0.81,2026-05-30,v1.0
FB000009,BYR000890,PRD000489,Yes,No,No,No,Yes,No,Duplicate of item I already own,Negative,NORMAL,0.66,2026-07-04,v1.0
FB000010,BYR000094,PRD001721,Yes,Yes,Yes,No,No,No,Relevant recommendation,Neutral,NORMAL,0.57,2026-06-06,v1.0
FB000011,BYR000717,PRD000627,Yes,Yes,Yes,No,No,No,"Good match, saved to wishlist",Neutral,NORMAL,0.91,2026-06-14,v1.0
FB000012,BYR000664,PRD002804,Yes,Yes,Yes,No,No,No,Relevant recommendation,Neutral,NEGATIVE,0.78,2026-05-08,v1.0
FB000013,BYR000626,PRD000499,Yes,No,Yes,No,No,No,Irrelevant to my search,Neutral,EDGE,0.67,2026-05-30,v1.0
FB000014,BYR000580,PRD001532,Yes,Yes,Yes,No,No,No,"Good match, saved to wishlist",Neutral,RARE,0.86,2026-07-25,v1.0
FB000015,BYR000850,PRD001103,Yes,No,Yes,No,No,No,Not my style,Neutral,RARE,0.92,2026-06-12,v1.0
FB000016,BYR000801,PRD002401,Yes,Yes,Yes,Yes,No,No,"Perfect timing, needed this",Positive,NORMAL,0.69,2026-07-24,v1.0
FB000017,BYR000351,PRD001348,Yes,No,Yes,No,No,No,Price too high 😅,Neutral,NORMAL,0.66,2026-07-01,v1.0
FB000018,BYR000550,PRD002520,Yes,No,Yes,No,No,No,Not my style,Neutral,NORMAL,0.9,2026-05-30,v1.0
FB000019,BYR000827,PRD002605,Yes,No,Yes,No,No,No,Not my style,Neutral,NORMAL,0.78,2026-07-17,v1.0
FB000020,BYR000455,PRD002890,Yes,No,No,No,Yes,No,Not interested,Negative,NORMAL,0.67,2026-05-31,v1.0
FB000021,BYR000500,PRD001993,Yes,No,No,No,Yes,No,Duplicate of item I already own,Negative,NEGATIVE,0.91,2026-05-31,v1.0
FB000022,BYR000380,PRD000724,Yes,No,No,No,Yes,No,Not interested,Negative,NORMAL,0.72,2026-06-09,v1.0
FB000023,BYR000927,PRD000611,Yes,Yes,Yes,No,No,No,Too expensive for my budget,Neutral,NEGATIVE,0.76,2026-05-09,v1.0
FB000024,BYR000388,PRD000004,Yes,No,Yes,No,No,No,Not my style,Neutral,NORMAL,0.75,2026-05-25,v1.0
FB000025,BYR000602,PRD002638,Yes,No,No,No,Yes,No,Duplicate of item I already own,Negative,NORMAL,0.53,2026-05-10,v1.0
FB000026,BYR000862,PRD001095,Yes,No,No,No,Yes,No,Duplicate of item I already own,Negative,COLD_START,0.89,2026-07-15,v1.0
FB000027,BYR000104,PRD000954,Yes,No,Yes,No,No,No,Not my style,Neutral,NORMAL,0.93,2026-05-28,v1.0
FB000028,BYR000471,PRD002061,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,NORMAL,0.76,2026-05-16,v1.0
FB000029,BYR000823,PRD000092,Yes,No,Yes,No,No,No,Price too high 😅,Neutral,NORMAL,0.77,2026-07-19,v1.0
FB000030,BYR000615,PRD002748,Yes,Yes,Yes,No,No,No,"Good match, saved to wishlist",Neutral,EDGE,0.56,2026-06-09,v1.0
FB000031,BYR000830,PRD001050,Yes,No,No,No,Yes,No,Not interested,Negative,NORMAL,0.93,2026-07-25,v1.0
FB000032,BYR000332,PRD001397,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,NORMAL,0.87,2026-06-22,v1.0
FB000033,BYR000960,PRD001017,Yes,No,Yes,No,No,No,Price too high 😅,Neutral,NORMAL,0.55,2026-07-11,v1.0
FB000034,BYR000774,PRD002552,Yes,No,No,No,Yes,Yes,Already purchased elsewhere,Negative,NORMAL,0.65,2026-05-28,v1.0
FB000035,BYR000512,PRD001690,Yes,No,No,No,Yes,No,Not interested,Negative,NORMAL,0.51,2026-06-20,v1.0
FB000036,BYR000281,PRD002435,Yes,Yes,Yes,Yes,No,No,Clicked and purchased,Positive,NORMAL,0.64,2026-06-08,v1.0
FB000037,BYR000242,PRD001101,Yes,Yes,Yes,No,No,No,Too expensive for my budget,Neutral,EDGE,0.89,2026-06-13,v1.0
FB000038,BYR000481,PRD000436,Yes,No,No,No,Yes,No,Not interested,Negative,EDGE,0.57,2026-05-24,v1.0
FB000039,BYR000736,PRD002578,Yes,Yes,Yes,No,No,No,Too expensive for my budget,Neutral,NEGATIVE,0.89,2026-05-18,v1.0
FB000040,BYR000283,PRD000484,Yes,Yes,Yes,No,No,No,"Good match, saved to wishlist",Neutral,NEGATIVE,0.74,2026-07-01,v1.0
FB000041,BYR000163,PRD000892,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,NORMAL,0.88,2026-07-07,v1.0
FB000042,BYR000970,PRD002252,Yes,No,Yes,No,No,No,Not my style,Neutral,NORMAL,0.97,2026-06-14,v1.0
FB000043,BYR000685,PRD001572,Yes,No,No,No,Yes,No,Not interested,Negative,NORMAL,0.7,2026-05-16,v1.0
FB000044,BYR000848,PRD000956,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,NORMAL,0.74,2026-06-30,v1.0
FB000045,BYR000966,PRD000704,Yes,No,No,No,Yes,No,Duplicate of item I already own,Negative,COLD_START,0.93,2026-05-29,v1.0
FB000046,BYR000961,PRD002938,Yes,No,No,No,Yes,No,Not interested,Negative,NORMAL,0.78,2026-07-24,v1.0
FB000047,BYR000776,PRD002120,Yes,No,Yes,No,No,No,Price too high 😅,Neutral,NORMAL,0.86,2026-06-08,v1.0
FB000048,BYR000752,PRD001449,Yes,No,Yes,No,No,No,Price too high 😅,Neutral,NORMAL,0.65,2026-06-28,v1.0
FB000049,BYR000325,PRD002448,Yes,No,No,No,Yes,No,Not interested,Negative,RARE,0.76,2026-05-10,v1.0
FB000050,BYR000695,PRD000775,Yes,Yes,Yes,Yes,No,No,Great match! ⭐⭐⭐⭐⭐,Positive,NORMAL,0.88,2026-06-15,v1.0
FB000051,BYR000137,PRD001260,Yes,No,Yes,No,No,No,Not my style,Neutral,COLD_START,0.66,2026-07-14,v1.0
FB000052,BYR000487,PRD002561,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,COLD_START,0.52,2026-06-07,v1.0
FB000053,BYR000236,PRD001238,Yes,Yes,Yes,No,No,No,Relevant recommendation,Neutral,NEGATIVE,0.72,2026-05-17,v1.0
FB000054,BYR000888,PRD001410,Yes,No,No,No,Yes,No,Duplicate of item I already own,Negative,EDGE,0.63,2026-07-14,v1.0
FB000055,BYR000641,PRD002803,Yes,Yes,Yes,No,No,No,Too expensive for my budget,Neutral,NORMAL,0.73,2026-06-16,v1.0
FB000056,BYR000765,PRD002002,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,NORMAL,0.58,2026-05-22,v1.0
FB000057,BYR000109,PRD000413,Yes,No,No,No,Yes,No,Duplicate of item I already own,Negative,COLD_START,0.79,2026-06-06,v1.0
FB000058,BYR000606,PRD002195,Yes,Yes,Yes,No,No,No,Too expensive for my budget,Neutral,NORMAL,0.51,2026-05-22,v1.0
FB000059,BYR000050,PRD000181,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,NORMAL,0.61,2026-07-07,v1.0
FB000060,BYR000395,PRD002675,Yes,No,No,No,Yes,No,Duplicate of item I already own,Negative,EDGE,0.72,2026-07-26,v1.0
FB000061,BYR000280,PRD001895,Yes,No,No,No,Yes,No,Not interested,Negative,NORMAL,0.9,2026-06-23,v1.0
FB000062,BYR000518,PRD000432,Yes,No,Yes,No,No,No,Irrelevant to my search,Neutral,EDGE,0.9,2026-05-19,v1.0
FB000063,BYR000737,PRD000079,Yes,Yes,Yes,No,No,No,Too expensive for my budget,Neutral,NORMAL,0.87,2026-06-18,v1.0
FB000064,BYR000701,PRD002188,Yes,No,Yes,No,No,No,Price too high 😅,Neutral,NORMAL,0.59,2026-06-21,v1.0
FB000065,BYR000714,PRD000757,Yes,Yes,Yes,No,No,No,"Good match, saved to wishlist",Neutral,BOUNDARY,0.99,2026-05-10,v1.0
FB000066,BYR000349,PRD002040,Yes,No,No,No,Yes,No,Duplicate of item I already own,Negative,NORMAL,0.97,2026-07-22,v1.0
FB000067,BYR000531,PRD001764,Yes,No,No,No,Yes,No,Not interested,Negative,NORMAL,0.69,2026-07-27,v1.0
FB000068,BYR000785,PRD001777,Yes,Yes,Yes,No,No,No,Relevant recommendation,Neutral,NORMAL,0.87,2026-06-08,v1.0
FB000069,BYR000410,PRD000696,Yes,No,Yes,No,No,No,Price too high 😅,Neutral,NEGATIVE,0.52,2026-07-05,v1.0
FB000070,BYR000769,PRD000722,Yes,No,No,No,Yes,No,Not interested,Negative,BOUNDARY,0.89,2026-06-22,v1.0
FB000071,BYR000429,PRD001970,Yes,No,Yes,No,No,No,Price too high 😅,Neutral,NORMAL,0.54,2026-05-18,v1.0
FB000072,BYR000738,PRD002160,Yes,No,No,No,Yes,No,Not interested,Negative,NORMAL,0.99,2026-05-16,v1.0
FB000073,BYR000617,PRD001331,Yes,Yes,Yes,Yes,No,No,Clicked and purchased,Positive,BOUNDARY,0.69,2026-07-20,v1.0
FB000074,BYR000798,PRD000823,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,NORMAL,0.78,2026-05-26,v1.0
FB000075,BYR000227,PRD000845,Yes,No,No,No,Yes,No,Duplicate of item I already own,Negative,NORMAL,0.9,2026-07-08,v1.0
FB000076,BYR000727,PRD000907,Yes,No,No,No,Yes,No,Duplicate of item I already own,Negative,NORMAL,0.74,2026-07-30,v1.0
FB000077,BYR000951,PRD002971,Yes,No,Yes,No,No,No,Price too high 😅,Neutral,BOUNDARY,0.52,2026-07-12,v1.0
FB000078,BYR000471,PRD000326,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,NORMAL,0.81,2026-05-20,v1.0
FB000079,BYR000957,PRD002471,Yes,No,Yes,No,No,No,Price too high 😅,Neutral,NORMAL,0.71,2026-05-16,v1.0
FB000080,BYR000518,PRD000468,Yes,No,No,No,Yes,No,Not interested,Negative,NORMAL,0.58,2026-07-27,v1.0
FB000081,BYR000809,PRD001679,Yes,No,No,No,Yes,No,Not interested,Negative,NORMAL,0.86,2026-06-20,v1.0
FB000082,BYR000512,PRD002549,Yes,No,No,No,Yes,No,Duplicate of item I already own,Negative,NORMAL,0.72,2026-05-19,v1.0
FB000083,BYR000071,PRD002836,Yes,Yes,Yes,No,No,No,Relevant recommendation,Neutral,NORMAL,0.89,2026-06-24,v1.0
FB000084,BYR000244,PRD002215,Yes,Yes,Yes,No,No,No,Relevant recommendation,Neutral,NORMAL,0.59,2026-05-22,v1.0
FB000085,BYR000768,PRD000632,Yes,No,Yes,No,No,No,Not my style,Neutral,NORMAL,0.52,2026-05-26,v1.0
FB000086,BYR000875,PRD001512,Yes,Yes,Yes,No,No,No,Too expensive for my budget,Neutral,NORMAL,0.58,2026-06-07,v1.0
FB000087,BYR000013,PRD001648,Yes,Yes,Yes,No,No,No,"Good match, saved to wishlist",Neutral,NORMAL,0.87,2026-08-02,v1.0
FB000088,BYR000383,PRD002725,Yes,Yes,Yes,Yes,No,No,Clicked and purchased,Positive,NORMAL,0.82,2026-05-19,v1.0
FB000089,BYR000284,PRD001905,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,NORMAL,0.55,2026-05-26,v1.0
FB000090,BYR000005,PRD001759,Yes,No,No,No,Yes,No,Not interested,Negative,BOUNDARY,0.97,2026-07-27,v1.0
FB000091,BYR000368,PRD002320,Yes,No,No,No,Yes,No,Not interested,Negative,EDGE,0.52,2026-05-27,v1.0
FB000092,BYR000139,PRD000099,Yes,No,Yes,No,No,No,Price too high 😅,Neutral,NORMAL,0.66,2026-06-05,v1.0
FB000093,BYR000306,PRD000315,Yes,No,Yes,No,No,No,Irrelevant to my search,Neutral,NORMAL,0.77,2026-07-04,v1.0
FB000094,BYR000945,PRD000193,Yes,No,No,No,Yes,No,Not interested,Negative,COLD_START,0.87,2026-05-29,v1.0
FB000095,BYR000846,PRD002893,Yes,No,No,No,Yes,No,Duplicate of item I already own,Negative,NORMAL,0.72,2026-05-11,v1.0
FB000096,BYR000916,PRD000205,Yes,Yes,Yes,No,No,No,Too expensive for my budget,Neutral,NORMAL,0.8,2026-05-11,v1.0
FB000097,BYR000583,PRD001329,Yes,No,No,No,Yes,No,Not interested,Negative,NORMAL,0.56,2026-06-01,v1.0
FB000098,BYR000940,PRD001919,Yes,No,No,No,Yes,Yes,Not interested,Negative,NORMAL,0.52,2026-06-09,v1.0
FB000099,BYR000100,PRD001132,Yes,Yes,Yes,No,No,No,"Good match, saved to wishlist",Neutral,EDGE,0.57,2026-05-16,v1.0
FB000100,BYR000157,PRD002848,Yes,Yes,Yes,No,No,No,"Good match, saved to wishlist",Neutral,NORMAL,0.55,2026-08-04,v1.0
FB000101,BYR000562,PRD001609,Yes,Yes,Yes,Yes,No,No,"Perfect timing, needed this",Positive,NORMAL,0.54,2026-07-04,v1.0
FB000102,BYR000594,PRD002725,Yes,No,Yes,No,No,No,Irrelevant to my search,Neutral,NORMAL,0.83,2026-08-03,v1.0
FB000103,BYR000585,PRD001594,Yes,No,No,No,Yes,No,Duplicate of item I already own,Negative,NORMAL,0.98,2026-06-16,v1.0
FB000104,BYR000953,PRD001858,Yes,Yes,Yes,No,No,No,Too expensive for my budget,Neutral,NORMAL,0.7,2026-07-23,v1.0
FB000105,BYR000060,PRD002781,Yes,No,Yes,No,No,No,Price too high 😅,Neutral,NORMAL,0.83,2026-06-14,v1.0
FB000106,BYR000070,PRD002696,Yes,No,No,No,Yes,No,Not interested,Negative,NORMAL,0.96,2026-06-18,v1.0
