Dataset ID,Scenario ID,Scenario Type,Listing ID,Seller ID,Brand,Model,Product Name,Title,Description,Price,Marketplace Average Price,Price Deviation Percentage,Seller Rating,Seller Total Listings,Seller Violation Count,Duplicate Image,Duplicate Title,Image Match Category,AI Image Detected,Keyword Stuffing,Suspicious Word,Profanity,Adult Content,Illegal Product,Counterfeit,Category Mismatch,Title Description Mismatch,Spam Behavior,Risk Score,Risk Band,Confidence Score,Expected Result,Ground Truth,Reason,Business Rule,Acceptance Criteria,Created Date,Version,Remarks,__source_sheet__,is_intentional_null,Title_clean,Title_has_emoji,Description_clean,Description_has_emoji,Title_length,Description_length,Duplicate Image_flag,Duplicate Title_flag,Image Match Category_flag,AI Image Detected_flag,Keyword Stuffing_flag,Suspicious Word_flag,Profanity_flag,Adult Content_flag,Illegal Product_flag,Counterfeit_flag,Category Mismatch_flag,Title Description Mismatch_flag,Spam Behavior_flag,Category_Accessories,Category_Automotive Parts,Category_Books,Category_Camera,Category_Collectibles,Category_Computer,Category_Electronics,Category_Fashion,Category_Furniture,Category_Gaming,Category_Home Appliances,Category_Laptop,Category_Mobile Phone,Category_Musical Instruments,Category_Others,Category_Sports,Category_Stationery,Category_Tablet,Category_UnknownCategoryXYZ,Subcategory_Action Camera,Subcategory_Action Figure,Subcategory_Air Fryer,Subcategory_Alloy Wheel,Subcategory_Badminton Racket,Subcategory_Bag,Subcategory_Bed Frame,Subcategory_Belt,Subcategory_Bicycle,Subcategory_Bluetooth Speaker,Subcategory_Bookshelf,Subcategory_Brake Pad,Subcategory_Car Battery,Subcategory_Children Book,Subcategory_Chromebook,Subcategory_Coin,Subcategory_Comic,Subcategory_Console,Subcategory_Controller,Subcategory_DSLR,Subcategory_Desktop PC,Subcategory_Dining Table,Subcategory_Drone,Subcategory_Drum Set,Subcategory_Dumbbell Set,Subcategory_E-Reader,Subcategory_Engine Oil,Subcategory_Eraser,Subcategory_Feature Phone,Subcategory_Football,Subcategory_Game Disc,Subcategory_Gaming Chair,Subcategory_Gaming Headset,Subcategory_Gaming Laptop,Subcategory_Graphics Card,Subcategory_Guitar,Subcategory_Handmade,Subcategory_Headphones,Subcategory_Jacket,Subcategory_Jewelry,Subcategory_Keyboard,Subcategory_Keyboard Piano,Subcategory_Lens,Subcategory_MacBook,Subcategory_Men Shirt,Subcategory_Microwave,Subcategory_Mirrorless,Subcategory_Miscellaneous,Subcategory_Monitor,Subcategory_Mouse,Subcategory_Novel,Subcategory_Office Chair,Subcategory_Paper Clip,Subcategory_Pencil,Subcategory_Pet Supplies,Subcategory_Phone Case,Subcategory_Plant,Subcategory_Plastic Spoon,Subcategory_Power Bank,Subcategory_RAM,Subcategory_Refrigerator,Subcategory_Router,Subcategory_Rubber Band,Subcategory_Self-Help,Subcategory_Smartphone,Subcategory_Smartwatch,Subcategory_Sneakers,Subcategory_Sofa,Subcategory_Stamp,Subcategory_Sunglasses,Subcategory_Tablet,Subcategory_Textbook,Subcategory_Ticket,Subcategory_Tire,Subcategory_Trading Card,Subcategory_Treadmill,Subcategory_Tripod,Subcategory_Ukulele,Subcategory_Ultrabook,Subcategory_Vacuum Cleaner,Subcategory_Vinyl Record,Subcategory_Violin,Subcategory_Wallet,Subcategory_Wardrobe,Subcategory_Washing Machine,Subcategory_Watch,Subcategory_Women Dress,Subcategory_Yoga Mat,Condition_Fair,Condition_Good,Condition_Like New,Condition_New,Condition_Poor,Image Quality_Blurry,Image Quality_High,Image Quality_Low,Image Quality_Medium,ai_category,ai_risk_level,ai_status,text_full
DS024001,SC024001,NORMAL,LST-024001,SEL-02878,Vivo,V29,Vivo V29,ขาย Vivo V29 Feature Phone สภาพพอใช้ ราคาเป็นกันเอง,ขาย Vivo V29 Feature Phone สภาพพอใช้ ของแท้ 100% สนใจทักแชทได้เลยค่ะ,2433.69,2790,-12.77,4.5,597,0,No,No,Yes,No,No,No,No,No,No,No,No,No,No,6,Normal,0.86,PASS,NORMAL,Listing appears consistent with normal marketplace behavior.,BR000,AC001,2025-09-17 05:22:56,1.0,UAT record — auto-generated for uat use,6_UAT_Dataset,False,ขาย Vivo V29 Feature Phone สภาพพอใช้ ราคาเป็นกันเอง,0,ขาย Vivo V29 Feature Phone สภาพพอใช้ ของแท้ 100% สนใจทักแชทได้เลยค่ะ,0,51,68,0,0,1,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,NORMAL,LOW,APPROVED,ขาย Vivo V29 Feature Phone สภาพพอใช้ ราคาเป็นกันเอง ขาย Vivo V29 Feature Phone สภาพพอใช้ ของแท้ 100% สนใจทักแชทได้เลยค่ะ
DS024002,SC024002,BOUNDARY,LST-024002,SEL-02542,Amarin,Vol.1,Amarin Vol.1,Amarin Vol.1 Comic - Fair condition for sale ‼️ 🔥 🔥,Selling Amarin Vol.1 Comic. Condition: Fair. barely used.,4410.0,1470,200.0,0.0,2,0,No,No,Yes,No,No,No,No,No,No,No,No,No,No,46,Low Risk,0.76,REVIEW,BOUNDARY,Price sits exactly at the high-deviation threshold (300% of average).,BR002,AC001,2026-03-20 22:33:14,1.0,UAT record — auto-generated for uat use,6_UAT_Dataset,False,Amarin Vol.1 Comic - Fair condition for sale ‼️,1,Selling Amarin Vol.1 Comic. Condition: Fair. barely used.,0,47,57,0,0,1,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,NORMAL,LOW,APPROVED,Amarin Vol.1 Comic - Fair condition for sale ‼️ Selling Amarin Vol.1 Comic. Condition: Fair. barely used.
DS024003,SC024003,IMAGE_ANOMALY,LST-024003,SEL-01384,Samsung,V15 Detect,Samsung V15 Detect,Samsung V15 Detect Vacuum Cleaner - Poor condition for sale,Selling Samsng V15 Detect Vacuum Cleaner. Condition: Poor. negotiable price.,4991.89,5840,-14.52,3.5,43,0,No,No,Yes,No,No,No,No,No,No,No,No,No,No,42,Low Risk,0.73,REVIEW,SUSPICIOUS_IMAGE,"Image flagged as screenshot, requires manual review (BR012).",BR012,AC001,2026-05-04 07:57:48,1.0,UAT record — auto-generated for uat use,6_UAT_Dataset,False,Samsung V15 Detect Vacuum Cleaner - Poor condition for sale,0,Selling Samsng V15 Detect Vacuum Cleaner. Condition: Poor. negotiable price.,0,59,76,0,0,1,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,NORMAL,LOW,APPROVED,Samsung V15 Detect Vacuum Cleaner - Poor condition for sale Selling Samsng V15 Detect Vacuum Cleaner. Condition: Poor. negotiable price.
DS024004,SC024004,NEGATIVE,LST-024004,SEL-00262,Yokohama,Turanza T005,Yokohama Turanza T005,ขาย Yokohama Turanza T005 Engine Oil สภาพใหม่ ราคาเป็นกันเอง,ขาย Yokohama Turanza T005 Engine Oil สภาพใหม่ อุปกรณ์ครบกล่อง สนใจทักแชทได้เลยค่ะ,12887.71,13870,-7.08,4.4,18,0,No,No,Yes,No,No,No,No,No,No,No,No,No,No,28,Low Risk,0.55,REVIEW,INVALID_INPUT,Category value is not part of the controlled taxonomy.,BR000,AC001,2025-03-24 07:50:54,1.0,UAT record — auto-generated for uat use,6_UAT_Dataset,True,ขาย Yokohama Turanza T005 Engine Oil สภาพใหม่ ราคาเป็นกันเอง,0,ขาย Yokohama Turanza T005 Engine Oil สภาพใหม่ อุปกรณ์ครบกล่อง สนใจทักแชทได้เลยค่ะ,0,60,81,0,0,1,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,NORMAL,LOW,APPROVED,ขาย Yokohama Turanza T005 Engine Oil สภาพใหม่ ราคาเป็นกันเอง ขาย Yokohama Turanza T005 Engine Oil สภาพใหม่ อุปกรณ์ครบกล่อง สนใจทักแชทได้เลยค่ะ
DS024005,SC024005,BOUNDARY,LST-024005,SEL-02701,Xiaomi,WH-1000XM4,Xiaomi WH-1000XM4,Xiaomi WH-1000XM4 Headphones - Fair condition for sale,Selling Xiaomi WH-1000XM4 Headphones. Condition: Fair. fast shipping.,14467.49,12760,13.38,2.5,85,38,No,No,Yes,No,No,No,No,No,No,No,No,No,No,48,Low Risk,0.71,REVIEW,BOUNDARY,Seller rating sits exactly at the minimum acceptable threshold (2.5).,BR002,AC001,2025-01-02 22:03:48,1.0,UAT record — auto-generated for uat use,6_UAT_Dataset,False,Xiaomi WH-1000XM4 Headphones - Fair condition for sale,0,Selling Xiaomi WH-1000XM4 Headphones. Condition: Fair. fast shipping.,0,54,69,0,0,1,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,NORMAL,LOW,APPROVED,Xiaomi WH-1000XM4 Headphones - Fair condition for sale Selling Xiaomi WH-1000XM4 Headphones. Condition: Fair. fast shipping.
DS024006,SC024006,KEYWORD_SPAM,LST-024006,SEL-01059,Xiaomi,Galaxy S24,Xiaomi Galaxy S24,iPhone Apple Samsung Sony ASUS Lenovo Cheap Cheap Cheap Cheap Sale Sale Sale ราคาถูก ราคาถูก ราคาถูก ด่วนด่วนด่วน,Selling Xiaomi Galaxy S24 Feature Phone. Condition: New. negotiable price.,28397.59,30020,-5.4,3.1,51,0,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,63,Medium Risk,0.88,REVIEW,KEYWORD_SPAM,Title is stuffed with unrelated brand keywords to game search ranking (BR008).,BR008,AC001,2026-03-15 14:08:25,1.0,UAT record — auto-generated for uat use,6_UAT_Dataset,False,iPhone Apple Samsung Sony ASUS Lenovo Cheap Cheap Cheap Cheap Sale Sale Sale ราคาถูก ราคาถูก ราคาถูก ด่วนด่วนด่วน,0,Selling Xiaomi Galaxy S24 Feature Phone. Condition: New. negotiable price.,0,113,74,0,0,1,0,1,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,NORMAL,LOW,APPROVED,iPhone Apple Samsung Sony ASUS Lenovo Cheap Cheap Cheap Cheap Sale Sale Sale ราคาถูก ราคาถูก ราคาถูก ด่วนด่วนด่วน Selling Xiaomi Galaxy S24 Feature Phone. Condition: New. negotiable price.
DS024007,SC024007,NORMAL,LST-024007,SEL-00497,Yokohama,S5 Silver,Yokohama S5 Silver,ขาย Yokohama S5 Silver Tire สภาพดี ราคาเป็นกันเอง,ขาย Yokohama S5 Silver Tire สภาพดี อุปกรณ์ครบกล่อง สนใจทักแชทได้เลยค่ะ,2776.81,2740,1.34,3.8,51,1,No,No,Yes,No,No,No,No,No,No,No,No,No,No,1,Normal,0.85,PASS,NORMAL,Listing appears consistent with normal marketplace behavior.,BR000,AC001,2025-11-07 11:43:21,1.0,UAT record — auto-generated for uat use,6_UAT_Dataset,False,ขาย Yokohama S5 Silver Tire สภาพดี ราคาเป็นกันเอง,0,ขาย Yokohama S5 Silver Tire สภาพดี อุปกรณ์ครบกล่อง สนใจทักแชทได้เลยค่ะ,0,49,70,0,0,1,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,NORMAL,LOW,APPROVED,ขาย Yokohama S5 Silver Tire สภาพดี ราคาเป็นกันเอง ขาย Yokohama S5 Silver Tire สภาพดี อุปกรณ์ครบกล่อง สนใจทักแชทได้เลยค่ะ
DS024008,SC024008,SCAM,LST-024008,SEL-01770,Xiaomi,iPhone 15 Pro,Xiaomi iPhone 15 Pro,Xiaomi iPhone 15 Pro Feature Phone - Poor condition for sale ‼️,Selling Xiaomi iPhone 15 Pro Feature Phone. Condition: Poor. negotiable price.,593.32,11580,-94.88,0.0,0,1,No,No,Yes,No,No,No,No,No,No,No,No,No,No,95,Critical,1.0,REJECT,SCAM,"New seller, no history, listing a high-value item far below market price (BR003).",BR003,AC001,2026-07-13 19:57:20,1.0,UAT record — auto-generated for uat use,6_UAT_Dataset,False,Xiaomi iPhone 15 Pro Feature Phone - Poor condition for sale ‼️,0,Selling Xiaomi iPhone 15 Pro Feature Phone. Condition: Poor. negotiable price.,0,63,78,0,0,1,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,NORMAL,LOW,APPROVED,Xiaomi iPhone 15 Pro Feature Phone - Poor condition for sale ‼️ Selling Xiaomi iPhone 15 Pro Feature Phone. Condition: Poor. negotiable price.
DS024009,SC024009,NORMAL,LST-024009,SEL-02122,Apple,Galaxy S24,Apple Galaxy S24,Apple Galaxy S24 Feature Phone - New condition for sale,Selling Apple Galaxy S24 Feature Phone. Condition: New. fast shipping.,11039.91,10770,2.51,4.6,331,1,No,No,Yes,No,No,No,No,No,No,No,No,No,No,13,Normal,0.91,PASS,NORMAL,Listing appears consistent with normal marketplace behavior.,BR000,AC001,2026-03-15 06:02:48,1.0,UAT record — auto-generated for uat use,6_UAT_Dataset,False,Apple Galaxy S24 Feature Phone - New condition for sale,0,Selling Apple Galaxy S24 Feature Phone. Condition: New. fast shipping.,0,55,70,0,0,1,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,NORMAL,LOW,APPROVED,Apple Galaxy S24 Feature Phone - New condition for sale Selling Apple Galaxy S24 Feature Phone. Condition: New. fast shipping.
DS024010,SC024010,NORMAL,LST-024010,SEL-00725,Modernform,Nordic 120,Modernform Nordic 120,ขาย Modernform Nordic 120 Bookshelf New ถูกๆ ปกศ,"Selling Modernform Nordic 120 มือสอง ส่งไว ส่งฟรี, full box set มือ2",11050.0,11400,-3.07,4.3,41,0,No,No,Yes,No,No,No,No,No,No,No,No,No,No,1,Normal,0.92,PASS,NORMAL,Listing appears consistent with normal marketplace behavior.,BR000,AC001,2025-07-29 18:02:08,1.0,UAT record — auto-generated for uat use,6_UAT_Dataset,False,ขาย Modernform Nordic 120 Bookshelf New ถูกๆ ปกศ,0,"Selling Modernform Nordic 120 มือสอง ส่งไว ส่งฟรี, full box set มือ2",0,48,68,0,0,1,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,NORMAL,LOW,APPROVED,"ขาย Modernform Nordic 120 Bookshelf New ถูกๆ ปกศ Selling Modernform Nordic 120 มือสอง ส่งไว ส่งฟรี, full box set มือ2"
